"","Country","Region","Year","HealthSpendingPercent","SuicideRate","Country_Name","GDP_per_Capita","GINI_Index","SuicideRate_sqrt"
"1","IRL","Europe",2018,6.47943,9.28607,"Ireland",93328.98,0.30602926,3.04730536704151
"2","VNM","Western Pacific",2020,4.3322,6.83413,"Vietnam",11851.396,0.36790165,2.61421689995302
"3","NLD","Europe",2006,9.08055,9.58047,"Netherlands",61051.844,0.30043328,3.09523343223092
"4","ETH","Africa",2015,3.82317,5.20544,"Ethiopia",1957.4144,0.34993124,2.28154333730482
"5","MLI","Africa",2006,5.45589,3.94227,"Mali",2118.3147,0.3892922,1.98551504653075
"6","ECU","Americas",2005,5.76794,8.34281,"Ecuador",10647.086,0.53049964,2.88839228637663
"7","VUT","Western Pacific",2010,3.52656,16.92154,"Vanuatu",3359.8496,0.37351298,4.11357994938715
"8","DEU","Europe",2016,11.24167,12.98511,"Germany",60984.477,0.3141309,3.60348581237668
"9","GEO","Europe",2009,9.56682,4.88562,"Georgia",10553.09,0.38234815,2.21034386465093
"10","CRI","Americas",2005,6.6643,6.22886,"Costa Rica",15893.249,0.47510344,2.49576841874402
"11","KAZ","Europe",2012,3.03726,25.34302,"Kazakhstan",28881.242,0.2816882,5.03418513763648
"12","THA","South-East Asia",2006,3.09971,9.30568,"Thailand",15050.525,0.41819033,3.05052126693128
"13","PHL","Western Pacific",2015,3.89827,3.14923,"Philippines",7691.763,0.40351498,1.77460699874648
"14","VNM","Western Pacific",2018,5.02679,7.46774,"Vietnam",10936.894,0.35715547,2.73271659708796
"15","SVK","Europe",2019,6.91965,9.01833,"Slovakia",37273.133,0.23232324,3.00305344607784
"16","SWE","Europe",2015,10.80418,15.14755,"Sweden",59345.35,0.29209688,3.89198535454593
"17","MEX","Americas",2020,6.05374,6.35756,"Mexico",19964.967,0.44594344,2.521420234709
"18","MKD","Europe",2014,6.28993,6.36082,"North Macedonia",18641.613,0.35201505,2.52206661291886
"19","DNK","Europe",2014,10.30918,11.96759,"Denmark",61596.496,0.2835288,3.45942047169754
"20","CHN","Western Pacific",2011,4.34274,9.97236,"China",11187.166,0.42409223,3.15790436840636
"21","TUR","Europe",2011,4.65305,3.10776,"Turkey",21643.8,0.40039355,1.76288400072154
"22","IRQ","Eastern Mediterranean",2006,2.4937,3.6321,"Iraq",10568.914,0.28600612,1.90580691571838
"23","ISR","Europe",2002,6.92268,5.70146,"Israel",31770.395,0.39559424,2.38777302103864
"24","RWA","Africa",2000,3.57583,13.46159,"Rwanda",1015.7939,0.4851838,3.6690039520284
"25","UKR","Europe",2019,7.09175,23.29315,"Ukraine",17636.555,0.26619467,4.82629775293651
"26","PRY","Americas",2018,6.74498,7.39451,"Paraguay",15592.984,0.459551,2.71928483245136
"27","POL","Europe",2018,6.31291,13.473,"Poland",37136.016,0.302149,3.67055854060387
"28","IDN","South-East Asia",2004,2.12002,2.03343,"Indonesia",6843.5464,0.30416507,1.42598387087653
"29","PHL","Western Pacific",2003,3.07663,2.23925,"Philippines",5003.3833,0.4149466,1.49641237631877
"30","TUR","Europe",2017,4.17975,3.35897,"Turkey",28117.953,0.4353174,1.83274930091379
"31","IDN","South-East Asia",2011,2.98942,1.76444,"Indonesia",9274.97,0.37925914,1.32832225005832
"32","KAZ","Europe",2006,3.39825,34.7599,"Kazakhstan",22574.344,0.30243865,5.89575270851823
"33","TUR","Europe",2003,5.01428,2.72641,"Turkey",15227.171,0.42184338,1.65118442337614
"34","DEU","Europe",2015,11.19028,13.30158,"Germany",60099.637,0.31653914,3.64713312068534
"35","ARM","Europe",2019,11.3798,2.69734,"Armenia",16215.36,0.30031213,1.64235806083814
"36","BEL","Europe",2008,9.59316,20.23714,"Belgium",57943.715,0.28373718,4.49857088418089
"37","FRA","Europe",2001,9.70563,19.57477,"France",47678.906,0.3253329,4.42433836861513
"38","NLD","Europe",2007,9.05293,8.44638,"Netherlands",63286.086,0.2959278,2.90626564511918
"39","FRA","Europe",2015,11.43985,15.57142,"France",52018.332,0.32704228,3.94606386162211
"40","TGO","Africa",2006,3.36328,9.02702,"Togo",1941.173,0.42211255,3.00449995839574
"41","BOL","Americas",2019,6.88793,5.3483,"Bolivia",9985.23,0.416443,2.31263918500055
"42","ROU","Europe",2017,5.18879,10.09983,"Romania",33145.82,0.36012593,3.17802297033864
"43","GRC","Europe",2013,8.43796,4.92821,"Greece",30804.97,0.36127293,2.21995720679476
"44","USA","Americas",2017,16.75301,15.19367,"United States",66458.02,0.41177237,3.89790584801634
"45","EST","Europe",2007,5.18456,21.57974,"Estonia",37026.652,0.31178468,4.6453998751453
"46","BOL","Americas",2001,4.82522,6.47186,"Bolivia",6144.9785,0.57366186,2.54398506284923
"47","CAN","Americas",2018,10.94313,12.55595,"Canada",56470.46,0.3250927,3.54343759645912
"48","AUT","Europe",2021,12.15229,14.51307,"Austria",63576.242,0.30701602,3.80960234145245
"49","GBR","Europe",2003,8.07831,7.98613,"United Kingdom",47704.984,0.34856063,2.82597416831789
"50","FRA","Europe",2016,11.49049,14.62787,"France",52327.45,0.31923512,3.82463985232597
"51","DEU","Europe",2010,11.09593,13.23492,"Germany",55233.316,0.30218413,3.63798295762913
"52","FIN","Europe",2005,8.28796,19.95885,"Finland",53234.348,0.27619493,4.46753287620808
"53","SRB","Europe",2017,8.22039,16.25666,"Serbia",19656.764,0.36105734,4.03195486085844
"54","CRI","Americas",2009,7.86019,5.51308,"Costa Rica",18148.764,0.5055479,2.3479948892619
"55","HND","Americas",2019,7.28237,3.05047,"Honduras",6264.019,0.48162824,1.74655947508237
"56","LBR","Africa",2016,9.88515,5.82739,"Liberia",1653.3105,0.35265347,2.41399875724906
"57","AUT","Europe",2019,10.48754,14.58398,"Austria",65312.023,0.3021043,3.81889774673269
"58","ISR","Europe",2017,7.17606,5.07023,"Israel",42732.34,0.38202065,2.25171712255336
"59","SLV","Americas",2019,8.80846,7.79919,"El Salvador",10543.938,0.38778764,2.79270299172683
"60","ISL","Europe",2009,8.77518,14.54155,"Iceland",56365.465,0.2865624,3.81333843239752
"61","PAK","Eastern Mediterranean",2013,2.41648,5.82132,"Pakistan",4407.147,0.29528573,2.41274117965438
"62","IRN","Eastern Mediterranean",2006,5.15991,4.82758,"Iran",13416.842,0.44752038,2.19717545953891
"63","GBR","Europe",2018,9.73838,9.15679,"United Kingdom",53872.934,0.33689743,3.02601883668955
"64","FRA","Europe",2010,11.2256,18.22902,"France",50424.957,0.33720416,4.269545643274
"65","NGA","Africa",2012,3.35984,4.80876,"Nigeria",5563.6416,0.35513008,2.19288850605771
"66","HUN","Europe",2006,7.77806,24.92857,"Hungary",29237.266,0.28296095,4.99285189045299
"67","ZMB","Africa",2015,4.42974,5.70469,"Zambia",3576.9255,0.5583758,2.38844928771787
"68","ECU","Americas",2016,7.58817,8.8261,"Ecuador",13569.797,0.4501621,2.97087529189631
"69","BLR","Europe",2015,6.06528,21.91611,"Belarus",25513.213,0.25633225,4.68146451444417
"70","THA","South-East Asia",2002,3.33472,11.82967,"Thailand",12511.738,0.41944495,3.43942873163553
"71","PRT","Europe",2008,9.58308,13.03143,"Portugal",37488.703,0.3663415,3.60990720102332
"72","GNB","Africa",2021,8.16333,7.66672,"Guinea-Bissau",2450.978,0.33435068,2.76888425182419
"73","DNK","Europe",2015,10.34412,11.02614,"Denmark",62450.02,0.28177238,3.32056320524094
"74","TUR","Europe",2009,5.49439,3.08322,"Turkey",18495.398,0.3896531,1.75591002047371
"75","GRC","Europe",2008,8.82774,3.30634,"Greece",41767.047,0.33587772,1.81833440268835
"76","KAZ","Europe",2011,2.60237,26.57325,"Kazakhstan",27946.16,0.27983844,5.15492482971381
"77","HND","Americas",2007,8.08495,3.29051,"Honduras",5461.9014,0.5581602,1.81397629532472
"78","PHL","Western Pacific",2009,4.16452,2.81715,"Philippines",5965.307,0.41760337,1.67843677271442
"79","SVN","Europe",2021,9.48055,18.85039,"Slovenia",46274.28,0.2428228,4.34170358269654
"80","ARM","Europe",2001,4.64564,3.20517,"Armenia",5044.1167,0.3536436,1.79029885773298
"81","KAZ","Europe",2014,2.97468,22.3735,"Kazakhstan",30986.438,0.2701586,4.73006342452192
